area,location,category,severity,is_real,final,quote,action,fix,record
"Docs storici/record (sessioni,",cowork_code_exchange/_04_REPORT_010_batch_x5b.md:114 (e _00_HANDOVER_CLI...:329-332),TERMINOLOGY,low,False,(no-verify),"WHERE user_email IN ('admin@heuresys.com', 'tenant_admin_test@rtl-bank.test', 'manager_test@rtl-bank.test', 'employee_te","Lasciare invariato (record storico). Nessun allineamento: e' terminologia obsoleta in un report archiviato, non guida attiva ne' codice di gate.",,historical_record
"Docs storici/record (sessioni,","cowork_reserved/batch_c1/P5_heuresys_test_decision.md:1-104 (e cowork_reserved/00_README_KB.md:22,139; 11_STRATEGIC_REFORMULATION.md:449; 12_TODO_LIST_GRANULARE.md:115)",DBMS_TENANT_FLAG,low,False,(no-verify),"**heuresys_test = NON USARE come sandbox SDBI.** ... Treatment ""frozen archive snapshot 2026-05-07"".","Nessuna azione: false positive. E' un DB legacy fisico nominato 'heuresys_test', non un ambiente di test del prodotto. Record storico della pipeline brownfield.",,historical_record
"Docs storici/record (sessioni,",cowork_code_exchange/_00_HANDOVER_CLI_2026-05-26_post_S937.md:856 (e sessioni/.../HANDOVER_CLI.md:856),TERMINOLOGY,low,False,(no-verify),| **I12** | Brownfield = **enrichment source only**; v5 architecture wins; demo data (no PII reale); no anonymization. |,"Nessun allineamento: false positive (provenance, non gate). E' terminologia di provenienza in un record storico, coerente nello spirito con ADR-0023/0026.",,historical_record
"Docs storici/record (sessioni,",qa_artifacts/data_integrity/20260531_s952/_R1_system_health_milestone_spec.md:25,UI_BANNER,low,False,FALSE_POSITIVE,Showcase route keeps passing the existing mock demo data (dev-only brand demo — legitimate). Production route fetches `/,Nessuna azione: false positive. La vetrina /showcase con mock e' il percorso prospect previsto da ADR-0026.,Nessuna azione: la vetrina /showcase con mock e' il percorso prospect previsto da ADR-0026 §2.4.,historical_record
"Docs storici/record (sessioni,","docs/kb/improvement/DOSSIERS/D-05.md:14,46,103",UI_BANNER,low,False,FALSE_POSITIVE,"**Destino di `SystemHealthDashboard.tsx`** (mockup statico, ... incidenti `""GENESIS_DEMO degraded""` ...) → pagina prod r","Nessun allineamento ADR-0026 necessario: la direzione del dossier (mock -> /showcase, prod -> live) e' gia' coerente. (Resta una decisione di prodotto su quale opzione adottare, fuori dallo scope di q","Nessun allineamento ADR-0026 necessario: la direzione del dossier (mock → /showcase, prod → live) e' gia' coerente. La scelta tra le due opzioni resta decisione",active
"Docs storici/record (sessioni,",cowork_code_exchange/MIGRATION_STATUS_2026-05-18.md:635 (e docs/archive/MIGRATION_STATUS_2026-05-18.md:635),TERMINOLOGY,low,False,(no-verify),"plan/seed Wave 2 (medium-risk catalogs), Wave 3 (transactional history), Wave 4 (no-PII demo data).",Nessuna azione: false positive (provenance in un record storico di pianificazione import).,,historical_record
API codebase (apps/api/src),"apps/api/src/config/env.ts:51, 77-85, 209",CONFIG_ENV,low,False,FALSE_POSITIVE,"NODE_ENV: z.enum([""development"", ""test"", ""production""]).default(""development"")  ... COOKIE_SECURE ... defaults to (NODE_",Nessuna azione. Config infra legittima.,none,active
API codebase (apps/api/src),apps/api/src/config/env.ts:147-163,CONFIG_ENV,low,False,FALSE_POSITIVE,"// Mandatory-MFA login ENFORCEMENT kill-switch (dev/test neutralization seam, S989). ... Set MFA_ENFORCEMENT_ENABLED=fal","Nessuna azione. E' un seam di test/dev del runtime di sicurezza, non un gate dati.",none,active
API codebase (apps/api/src),"apps/api/src/modules/auth/mfa-service.ts:54-61, 95, 942-950, 1072, 1083-1084",CODE_TESTPROD_SPLIT,low,False,FALSE_POSITIVE,// QW-SEC6: metadata.label of the committed demo-grade TOTP fixture factors (the 6 seeded personas) ... const FIXTURE_FA,Nessuna azione. Infrastruttura di smoke/E2E test del software.,none,active
API codebase (apps/api/src),"apps/api/src/modules/users/repository.ts:33, 104-107, 202-205",DBMS_TENANT_FLAG,low,False,FALSE_POSITIVE,user_is_synthetic: boolean; ... if (filter.query.isSynthetic !== undefined) { params.push(filter.query.isSynthetic); whe,Nessuna azione. Filtro su discriminatore di provenienza legittimo (ADR-0023).,none,active
API codebase (apps/api/src),"apps/api/src/modules/tenant-materialization/repository.ts:185, 204-205; blueprints.ts:111-135; service.ts:42-46",DBMS_TENANT_FLAG,low,False,FALSE_POSITIVE,"one SYNTHETIC_REFERENCE incumbent per position ... VALUES ($1, $2, $3, $4, $5, $6, 'ACTIVE', 'SYNTHETIC_REFERENCE', true","Nessuna azione. Provenance + gate per-ruolo/stato, non per-ambiente.",none,active
API codebase (apps/api/src),apps/api/src/modules/leads/service.ts:14-30; routes.ts:2-4; packages/shared/src/schemas/leads.ts:12,CONFIG_ENV,low,False,(no-verify),"export const LeadSourceEnum = z.enum([""WEBSITE"", ""INVESTOR"", ""DEMO""]); ... POST = PUBLIC (no auth, no CSRF — a public we",Nessuna azione. Flusso GTM legittimo previsto da ADR-0026.,,active
API codebase (apps/api/src),apps/api/src/modules/brownfield-wave-executor/repository.ts:580-597,DBMS_TENANT_FLAG,low,False,FALSE_POSITIVE,For Wave 1 catalog imports we use the platform-wide HEURESYS_PLATFORM tenant so the rows are visible to every actual ten,"Nessuna azione. Distinzione di ruolo system vs customer tenant, legittima.",none,active
API codebase (apps/api/src),"apps/api/src/modules/auth/mailer.ts:58, 132; sms-sender.ts:37, 64; smtp-mailer.ts:25",CODE_TESTPROD_SPLIT,low,False,(no-verify),readonly productionCapable = false; (ConsoleMailer / ConsoleSms) ... readonly productionCapable = true; (SmtpMailer),"Nessuna azione. Descrittore di capability dell'adapter, non gate dati.",,active
API codebase (apps/api/src),apps/api/src/config/env.ts:189-197,CONFIG_ENV,low,False,FALSE_POSITIVE,"// R6 (100X): OpenAPI/Swagger exposure ... DEFAULT OFF ... Enable in dev/staging (API_DOCS_ENABLED=true), or behind an a","Nessuna azione. Gate di esposizione docs, non gate dati.",none,active
DBMS (migrations/seeds/scripts,"db/migrations/000119_enterprise_typing_test_tenants.sql:2,4,72 (filename + comment lines)",DBMS_TENANT_FLAG,medium,True,HISTORICAL_RECORD,-- 000119_enterprise_typing_test_tenants.sql -- wire the enterprise typing profile for the 2 reference TEST tenants. ...,Migration gia' applicata e immutabile (ledger append-only) → NON modificare il file storico ne' rinominarlo (romperebbe la sequenza/idempotenza). Azione: (a) annotare in DEBT_REGISTER/SOT che la termi,Do NOT modify or rename the migration file (append-only ledger; file_name is the UNIQUE dedup key in sys.sys_schema_migrations + SHA256 recorded → editing break,historical_record
"Frontend/webapps (apps/web, ap","apps/web/src/components/SystemHealthDashboard.tsx:316,323,335,337 (e gemello apps/showcase/src/components/SystemHealthDashboard.tsx:316,323,335-337)",TERMINOLOGY,low,False,(no-verify),"meta: ""user=manager_test@rtl-bank.test perm=positions:read tenant=01HQF7…NB3K"" ... meta: ""email=outsider_test@rtl-bank.t",Pulizia naming nel mock dev-only: sostituire `manager_test@rtl-bank.test`/`outsider_test@rtl-bank.test`/`paola.bertoni@rtl-bank.test`/`actor=manager_test` con le personas REALI di produzione (es. paol,,active
"Frontend/webapps (apps/web, ap","apps/showcase/src/components/SystemHealthDashboard.tsx:133,209,232,246,247,257,317 (tenant fittizio GENESIS_DEMO nel mock showcase)",TERMINOLOGY,low,False,(no-verify),"title=""1 active incident · GENESIS_DEMO"" ... { code: ""GENESIS_DEMO"", initials: ""GD"", ... status: ""degraded"", users: 62, ","Nessuna azione obbligatoria. Opzionale, contestualmente alla pulizia del mock: rinominare il tenant fittizio (es. `ACME_CORP`/`CONTOSO`) o documentare in commento che e' un dato di scena del brand sho",,active
"Frontend/webapps (apps/web, ap",apps/web/src/app/showcase/forms/page.tsx:110 (e gemello apps/showcase/src/app/showcase/forms/page.tsx:110) + apps/web/src/app/showcase/login-page/page.tsx:27,TERMINOLOGY,low,False,(no-verify),"value=""Mario Rossi · mario.rossi@rtl-bank.test"" disabled ... className=...readOnly /> ; placeholder=""nome.cognome@rtl-ba",Sostituire il dominio `.test` con `.org` (es. mario.rossi@rtl-bank.org) nei placeholder/esempi showcase per coerenza con RTL Bank tenant di produzione. Bassa priorita'.,,active
"Frontend/webapps (apps/web, ap","apps/web/src/app/showcase/layout.tsx:20-22,68 (e gemello apps/showcase) + apps/web/src/app/(authenticated)/dev/agent/page.tsx:12-14,29",CONFIG_ENV,low,False,(no-verify),"const SHOWCASE_ENABLED = process.env[""NEXT_PUBLIC_ENABLE_SHOWCASE""] === ""1"" || process.env[""NODE_ENV""] !== ""production"";",Nessuna azione. Comportamento corretto e desiderato: le route dev-only sono nascoste in produzione senza alterare alcun dato/tenant. Documentazione gia' chiara nei commenti.,,active
