area,page,mapverify,final,verdict,endpoints,tables,gap,adv_reason
Skills & Gaps,positions/[positionId]/skills,LIVE,PARTIAL,DOWNGRADED,GET /v1/positions/:positionId/skills,sys.sys_position_skill_requirements | sys.sys_skills,"844 requirements span 148 distinct positions; positions without any requirement row show the empty-state (real empty, not placeholder). No NULL-column gap.","The auditor's core claim -- 'route enriches skillName via sys_skills' -- is FALSE; there is NO enrichment in route, service, or repo. Proof chain: (1) shared PositionSkillRequirementSchema (packages/shared/src/schemas/positions.ts:145-156) has fields requirementId/positionId/tenantId/skillId/requiredProficiency/weight/criticality/metadata/createdAt/updatedAt -- NO skillName, NO skillCode. (2) positions/repository.ts listSkillRequirements (350-360) SELECTs SKILL_REQ_COLS which contains only skill_id, no JOIN to sys_skills. (3) positions/service.ts listSkills (157-160) returns repo.listSkillRequirements(...) verbatim. (4) routes.ts:114-116 wraps it unchanged. Yet the PAGE (positions/[positionId]/skills/page.tsx) declares interface fields skillCode+skillName (lines 16-17) and RENDERS them: col 'Code'=s.skillCode (line 67) and col 'Skill'=s.skillName (line 68) -- both ALWAYS undefined/blank. So 2 of 4 columns (the only two human-readable skill-identity columns) are permanently empty; only proficiency (line 69) + weight (line 70) are real. psql: sys_position_skill_requirements total=844 (RTL 844), required_proficiency NOT NULL=844, distinct positions=148, AND the referenced skills ARE resolvable (844/844 JOIN to a non-null skill_name) -- the data exists, the join is simply not wired. Table renders rows but is half-blank -> PARTIAL."
Skills & Gaps,me/skills,LIVE,LIVE,CONFIRMED,GET /v1/me/skills,sys.sys_user_skill_evidence | sys.sys_skills,score column is nullable and rendered as '—' when null (by design); skill/code/level/source/date all live. No real gap for seeded personas.,"No mock/initialData. me/skills/page.tsx:23-26 useQuery -> '/v1/me/skills'; me/repository.ts listMySkills (195-231) SELECTs e.* JOIN sys.sys_skills s ON s.skill_id=e.user_skill_evidence_skill_id, returning skill_code+skill_name (lines 207-208) WHERE user_skill_evidence_user_id=$me. Shared MeSkillEvidenceSchema (me.ts:96-104) includes skillCode+skillName+declaredProficiency+source+assessedAt+score(nullable). psql (RTL tenant): sys_user_skill_evidence total=902, declared_proficiency NOT NULL=902 (100%), distinct_users=156. Personas have profiles (federica evid=8, paolo=7, tommaso=2, antonio=6). NOTE the auditor under-stated it: he said score renders '-' when null, but psql shows score_null=0 for all 902 RTL rows -> the Score column is actually fully populated. Every column is live."
Skills & Gaps,me/skills/self-assessment,LIVE,LIVE,CONFIRMED,GET /v1/skills?limit=200 | POST /v1/me/skills/self-assessments,sys.sys_skills | sys.sys_user_skill_evidence,"It is a mutation form; no list/chart of its own. Picker capped client-side at 50 of 200 fetched of 5618 catalog — a usability cap, not a data gap. Write path verified by integration tests per repo doctrine; not exercised here (no-write rule).","Read side: self-assessment/page.tsx:36-39 useQuery -> '/v1/skills?limit=200' (live catalog, 5618 RTL-visible verified) feeds the <select> (filteredSkills.slice(0,50), line 111). Write side: useMutation (41-52) POST '/v1/me/skills/self-assessments' -> me/repository.ts insertSelfAssessment (233-272) INSERT INTO sys.sys_user_skill_evidence (source='SELF_ASSESSMENT') with a WITH ins ... JOIN sys_skills returning real skillCode/skillName. No initialData, no static JSON, no hard-coded skill list. The picker uses defaultValues skillId='' (empty placeholder, line 57) -- not fake data. Read-only audit: no write performed; write path is integration-tested per repo doctrine. The 50-of-200 client cap is a usability cap, not a data gap."
Skills & Gaps,gaps,PARTIAL,PARTIAL,CONFIRMED,GET /v1/learning-gaps?limit=200,sys.sys_learning_gaps,"Page renders 270 real rows + working severity KPI strip, but 4 of 6 table columns (Position, Skill, Required, Current) are 100% '—' because skill_id/position_id/required_proficiency/current_proficiency are all NULL for every RTL gap. Severity + detected_at + score are the only substantive populated dimensions.","No mock/initialData. gaps/page.tsx:31-34 useQuery -> '/v1/learning-gaps?limit=200'; learning-gaps/repository.ts listGaps (56-101) reads sys.sys_learning_gaps with tenant filter; the page DOES select the 4 detail columns into the row type (skillId/positionId/required/current). psql (RTL tenant 86ba7a65-...): rtl_gaps=270, severity NOT NULL=270, distinct severities=4 (HIGH 118 / MEDIUM 99 / LOW 48 / CRITICAL 5 -> KPI strip real), distinct_users=146, score NOT NULL=270. BUT learning_gap_skill_id NOT NULL=0/270, learning_gap_position_id=0/270, learning_gap_required_proficiency=0/270, learning_gap_current_proficiency=0/270 (all 100% NULL). So the table renders 270 rows + a working severity KPI strip, but 4 of 6 columns (Position/Skill/Required/Current) are 100% '-' (positionId?.slice line 95, skillId?.slice line 96, required line 98, current line 99). Only User/Severity substantive. PARTIAL holds exactly."
Skills & Gaps,me/gaps,PARTIAL,PARTIAL,CONFIRMED,GET /v1/me/gaps,sys.sys_learning_gaps,Skill column always shows the 'gaps.skillFallback' string (skillName never provided by the endpoint AND skill_id is NULL anyway); Required and Current columns always '—' (not even queried + 100% NULL in DB). Only Severity + Detected date are real per-user data. A user with gaps still sees a near-empty table.,"Substance of PARTIAL confirmed; one auditor detail corrected. me/gaps/page.tsx:28-31 useQuery -> '/v1/me/gaps' -> me/service.ts listGaps (257-258) -> me/repository.ts listMyGaps (528-550) which SELECTs ONLY learning_gap_id/skill_id/position_id/severity/score/detected_at -- it does NOT select skill name nor required/current proficiency. Shared MeGapSchema (me.ts:207-214) likewise has NO skillName/requiredProficiency/currentProficiency in the contract. Yet the page's MeGap interface (lines 10-19) declares skillName/requiredProficiency/currentProficiency and renders them: Skill col = g.skillName ?? 'gaps.skillFallback' (line 35 -> always the fallback string), Required col = g.requiredProficiency ?? '-' (line 39), Current col = g.currentProficiency ?? '-' (line 43) -> all permanently undefined. DB reinforces: skill_id/required/current 100% NULL across 270 gaps/146 users anyway. So only Severity (line 36) + Detected (line 45) are real per-user data. CORRECTION to auditor: the page has NO 'Position' column -- its 5 columns are Skill/Severity/Required/Current/Detected -- but the conclusion (3 of 5 columns dead) is right. PARTIAL holds."
Skills & Gaps,me/matching,LIVE,LIVE,CONFIRMED,GET /v1/matching/me/occupations | GET /v1/matching/me/positions | GET /v1/matching/me/job-roles,sys.sys_user_profile_embeddings | sys.sys_esco_occupation_embeddings | sys.sys_job_role_embeddings | sys.sys_skill_embeddings | sys.sys_user_skill_evidence | sys.sys_job_roles | sys.sys_positions,"admin@heuresys.com has NO profile embedding (evidence_cnt NULL, has_vec=false) -> its matching page correctly shows the honest 'no evidence' empty-state; but admin is a PLATFORM/Heuresys-tenant account, not an RTL persona. For all RTL personas the three sub-tables return live scored rows.","No initialData/placeholderData/mock. me/matching/page.tsx runs 3 useQuery (lines 42-53) -> '/v1/matching/me/{occupations,positions,job-roles}'; semantic-matching/service.ts myOccupations/myPositions/myJobRoles (51-107) pass the actor tenant (a.tenantId ?? ZERO_UUID for non-platform) into semantic-matching/repository.ts knn*ForUser, which run genuine pgvector cosine (embedding <=> ...) against sys_user_profile_embeddings; evidenceCount=0 -> honest empty-state (page lines 120-122, 148-149). psql substrate re-run: skill_embeddings=21939, job_role_embeddings=136, esco_occ_embeddings=3045, user_profile_embeddings=156. RTL personas have profile vectors (federica evid=8 has_vec=t, paolo=7, tommaso=2, antonio=6); admin@heuresys.com evid=NULL has_vec=f -> its empty-state is correct (platform account, not an RTL persona). LIVE kNN simulation for federica returned real scored occupations: 'strategic planning manager' 0.7704, 'product and services manager' 0.7448, 'project manager' 0.7423. RTL active positions=158, all 158 with a job_role embedding -> kNN positions returns ranked rows. Fully live for every RTL persona."
Skills Analytics,analytics/skills,LIVE,LIVE,CONFIRMED,GET /v1/analytics/skills,sys.sys_user_skill_evidence | sys.sys_users | sys.sys_user_position_assignments | sys.sys_positions | sys.sys_organization_units,"Nessun gap dati: heatmap (OU x proficiency) e bar (proficiency) entrambi alimentati da 902 evidence reali su 156 utenti RTL, campo chiave declared_proficiency 100% non-NULL.","Chain verified clean end-to-end with no fabrication. page.tsx:61-64 useQuery -> apiFetch('/v1/analytics/skills') with NO initialData/placeholderData/mock (grep over the whole analytics web tree returned none); apiFetch (lib/api/fetch.ts) throws ApiError/NetworkError/SessionExpiredError on failure and never returns fake data, so on error the page renders the error/empty branch (page.tsx:73-79, EmptyState 172-179), never hard-coded values. service.skills -> buildScope uses a.tenantId (service.ts:59) -> repo.getSkillsCoverage (SKILLS_FROM join evidence->users->PRIMARY/ACTIVE assignment->position->OU, tenant filter u.user_tenant_id=$1 via userScopeClause repo.ts:67-73). RTL tenant_id confirmed = 86ba7a65-217f-48ba-8ce5-5c09b40a66b0 (158 users; the other tenant has only 4). psql re-run of the exact totals query for RTL: total_evidence=902, distinct_users=156, distinct_ous=21 (auditor said heatmap OU axis resolves to real OUs — confirmed, 21 real OUs incl. Divisione Risk & Compliance=228, Commercial Banking=181, CFO=127). byProficiency re-run: EXPERT=691/PROFICIENT=166/COMPETENT=35/BASIC=9/NOVICE=1, and declared_proficiency NULL count = 0 (the COALESCE-to-NULL test returned no NULL bucket). All 3 stats cards (totalEvidence/distinctUsers/distinctOrgUnits) derive from the same populated query. No way to sment: data is real and reproduces exactly."
Skills Analytics,analytics/skills-by-category,LIVE,LIVE,CONFIRMED,GET /v1/analytics/skills-by-category,sys.sys_user_skill_evidence | sys.sys_users | sys.sys_skills | sys.sys_skill_categories | sys.sys_user_position_assignments,"A livello catalogo globale 21908/21939 sys_skills hanno skill_category_id NULL, ma NESSUNA di esse e' referenziata dalle 902 evidence RTL -> la pagina e' densa e LIVE; il NULL globale non impatta questa vista tenant-scoped (e' rilevante solo per moduli skills-catalog, non per questa pagina).","Adversarial INNER-JOIN-drop and orphan tests both came back ZERO, so the auditor's LIVE verdict holds. page.tsx:62-65 useQuery -> apiFetch('/v1/analytics/skills-by-category'), no initialData/placeholderData/mock. repo.getSkillsByCategory uses SKILLS_BY_CATEGORY_FROM with INNER JOINs evidence->users->sys_skills(skill_id)->sys_skill_categories(skill_category_id) (repo.ts:631-639), tenant filter via userScopeClause. The suspicion was that the INNER JOIN to sys_skill_categories could silently drop evidence whose skill has a NULL category (the global catalogue has ~21908 skills with NULL skill_category_id). psql re-run for RTL: total_evidence through the INNER JOINs = 902 — IDENTICAL to page 1's 902, i.e. ZERO drop. Confirmed by two explicit tests: (a) RTL evidence with sk.skill_category_id IS NULL = 0; (b) RTL evidence with orphan skill_id (no sys_skills row) = 0. cats=7 real categories (Results Orientation=261/97u, Leadership=194/84u, Innovation=150/122u, Technical/Domain Expertise=117/80u, Customer Focus=100/73u, Collaboration=50/50u, Adaptability=30/30u). The global NULL-category mass never touches the RTL evidence, exactly as the auditor's gap_note stated. Page is dense and LIVE."
Skills Analytics,analytics/skills-group-share,LIVE,LIVE,CONFIRMED,GET /v1/analytics/skills-group-share,sys.sys_skills,"Pagina globale (non tenant-scoped) by-design (ADR: catalogo ESCO platform-global). Tabella sharePct copre solo skill 'grouped' (12892) per costruzione; 9047 ungrouped esposti come stat separata. Sorgente sys_skills popolata, campo JSONB chiave non vuoto -> LIVE (non GUARDRAIL: c'e' una tabella di backing reale).","Real backing table populated, counts reconcile exactly, no mock/placeholder — not a guardrail. page.tsx:13-16 useQuery -> apiFetch('/v1/analytics/skills-group-share'), no initialData/placeholderData/mock; table rows (page.tsx:129-137) and bar (38-49) both map d.groups + a real 'other' fold (otherGroupsCount/otherSkillCount), no static array. service.skillsGroupShare -> repo.getSkillsGroupShare (NO tenant filter by design — ESCO catalogue is platform-global tenantId=null; scope reported for surface parity only, service.ts:237-251). psql re-run of the exact repo totals SQL on sys.sys_skills: total=21939, grouped (count of skill_metadata->>'skill_group_uri') = 12892, distinct_groups = 400 -> ungrouped = 21939-12892 = 9047 (reconciles, matching the auditor). Top groups reproduce real ESCO URIs (S2.8.1=314, S4.2.2=193, S4.2.1=190, S1.2.1=150, isced-f/0613=147, S4.1.3=146). Adversarial nuance found and resolved: the JSONB `?` key-presence operator returns 13183 rows with the skill_group_uri key, but `->>` (used by the repo) returns 12892 non-null values — the 291 delta are rows where the key holds JSON null; the repo's count(->>) correctly excludes them and ALL derived stats (grouped/ungrouped/groups table) use ->> consistently, so the page is self-consistent and not inflated. Backing source is a real populated table with a non-empty JSONB key, escoGroupCode parses real URIs, top-25 + other fold are genuine slices -> LIVE, not GUARDRAIL_OR_DERIVED."
KPI,kpis,LIVE,LIVE,CONFIRMED,GET /v1/kpi-definitions?limit=200,sys.sys_kpi_definitions,"No tenant-specific KPI definitions (0 with tenant_id=RTL); catalogue is 100% global defaults. 17/243 rows have NULL unit (rendered as em-dash, acceptable empty-cell).","No mock/initialData/placeholderData/fallback found. page.tsx:45-48 useQuery -> apiFetch('/v1/kpi-definitions?limit=200'); apiFetch (lib/api/fetch.ts) has no mock/fixture/fallback path. Repository listKpiDefinitions (kpi-definitions/repository.ts:51) is real parameterized SQL FROM sys.sys_kpi_definitions WHERE (is_global=true OR tenant_id=$N). Single-table read, no JOIN to break. psql re-run (RTL tenant): total=243 | is_global=243 | tenant=RTL=0 | unit_nn=226 | name_nn=243 | polarity_nn=243. Filter (global OR tenant) => all 243 global rows visible; 17/243 NULL unit render as em-dash (acceptable empty-cell, page.tsx:29). Auditor counts reproduced exactly. Genuinely live."
KPI,positions/[positionId]/kpis,LIVE,PARTIAL,DOWNGRADED,GET /v1/positions/:id/kpis,sys.sys_position_kpi_requirements,"DISPLAY/CONTRACT GAP (not a data gap): the page TS interface expects kpiCode and kpiName, but PositionKpiRequirementSchema + listKpiRequirements return only kpiDefinitionId (no JOIN to sys_kpi_definitions) — the code/name columns render undefined. Source table itself is fully populated. Also: only 43 of the tenant's positions have requirements, so most position pages show empty-state; weight is uniform (1 distinct value).","Live data flows but the page renders blank in 2 of 4 columns on EVERY populated row — a real user-visible display defect at the contract layer, not a cosmetic note. Verified at source: Fastify response schema PositionKpiListResponseSchema -> PositionKpiRequirementSchema (packages/shared/src/schemas/positions.ts:180-196) contains ONLY {requirementId, positionId, tenantId, kpiDefinitionId, targetTemplate, weight, rank, metadata, createdAt, updatedAt} — NO kpiCode, NO kpiName. The Zod type-provider STRIPS unknown fields from the wire response. repository.ts listKpiRequirements (line 455-461) SELECTs KPI_REQ_COLS only FROM sys.sys_position_kpi_requirements with NO JOIN to sys_kpi_definitions, and service.listKpis (service.ts:198) passes it through unchanged. Yet the page interface PositionKpiReq declares kpiCode+kpiName (page.tsx:14-15) and renders them as table columns (page.tsx:66 {k.kpiCode}, :67 {k.kpiName}) => both arrive undefined for all rows. Only weight (page.tsx:68) and targetTemplate (page.tsx:69) are real. psql (RTL): 172 rows | 43 distinct positions | weight_nn=172 | tmpl_nn=172 | distinct_weights=1 (single value 0.250). Table is populated, but the rendered KPI Code + KPI Name columns are empty on every row, and weight is uniform — so the live half of the page is degraded. LIVE overstated the user-facing result."
KPI,me/kpis,PARTIAL,PARTIAL,CONFIRMED,GET /v1/me/kpis,sys.sys_user_position_assignments | sys.sys_position_kpi_requirements | sys.sys_kpi_definitions | sys.sys_user_kpi_evidence,"Backing data is real and rich (248 evidence rows, 43 users in chain) but DISJOINT from the canonical login personas: every seeded test/E2E account (incl. the CLAUDE.md personas paolo/tommaso/antonio) sees an empty me/kpis page. A real demo/E2E of this page would need a persona whose PRIMARY position has KPI requirements + evidence — none of the 5 documented logins qualify.","No mock/static data in page (page.tsx:28-31 useQuery -> apiFetch('/v1/me/kpis')) and the repository query DOES join sys_kpi_definitions correctly (me/repository.ts:757+ SELECT k.kpi_definition_code AS kpi_code, k.kpi_definition_name AS kpi_name ... JOIN sys_kpi_definitions k), so unlike the position page the code/name would render IF rows existed. total field is real (me/repository.ts: 'return { items, total: items.length }', not a faked const). BUT re-ran the exact ACTIVE+PRIMARY assignment -> requirement -> definition chain per seeded login persona: admin@heuresys.com=0, federica.marchetti@rtl-bank.org=0, paolo.caputo@rtl-bank.org=0, tommaso.fiore@rtl-bank.org=0, antonio.parisi@rtl-bank.org=0. Backing tables are rich (sys_user_kpi_evidence RTL: 248 rows, measured/target/recorded all 248 non-null; 43 distinct users have the assignment->requirement chain) but the populated user-set is DISJOINT from the 5 canonical login personas. Every documented login sees an empty me/kpis page. No alt source exists for the personas (no UPGRADE possible). PARTIAL is accurate."
