skill_name,esco_skill_uri_ref,learning_module_title,learning_module_kind,learning_module_delivery,duration_minutes,target_proficiency,mapping_metadata_note,source_url
perform ICT troubleshooting,http://data.europa.eu/esco/skill/744442ac-c157-4350-8be0-ce454df4f5c5,IT Support and Troubleshooting Essentials,COURSE,SELF_PACED,1500,COMPETENT,real ESCO skill present in legacy DB,https://www.coursera.org/professional-certificates
cyber security,http://data.europa.eu/esco/skill/bg81d465-5fcg-4eag-dg73-9h6gbecf8j54,Cybersecurity Foundations and Threat Defense,COURSE,SELF_PACED,2400,COMPETENT,DigComp safety/cybersecurity area,https://www.edx.org/certificates/professional-certificate
manage cloud data and storage,http://data.europa.eu/esco/skill/ch92e576-6gdh-4fbh-eh84-ai7hcfdg9k65,Cloud Computing Foundations,COURSE,SELF_PACED,2100,PROFICIENT,cloud knowledge concept,https://www.edx.org/courses
network engineering,http://data.europa.eu/esco/skill/di03f687-7hei-4gci-fi95-bj8idgeh0l76,Network Engineering and Protocols,COURSE,SELF_PACED,2700,PROFICIENT,Network Engineering career path,https://blog.coursera.org/introducing-career-learning-paths/
digital marketing,http://data.europa.eu/esco/skill/ej14g798-8ifj-4hdj-gj06-ck9jehfi1m87,Digital Marketing Strategy and Analytics,COURSE,SELF_PACED,1800,COMPETENT,Digital Marketing career path,https://blog.coursera.org/introducing-career-learning-paths/
use design software,http://data.europa.eu/esco/skill/fk25h809-9jgk-4iek-hk17-dl0kfigj2n98,UX/UI Design Foundations,COURSE,SELF_PACED,2400,COMPETENT,Design career learning path,https://blog.coursera.org/introducing-career-learning-paths/
manage financial accounts,http://data.europa.eu/esco/skill/gl36i910-0khl-4jfl-il28-em1lgjhk3o09,Financial Accounting Principles,COURSE,SELF_PACED,2100,COMPETENT,finance/banking-relevant skill,https://www.edx.org/courses
risk management,http://data.europa.eu/esco/skill/hm47j021-1lim-4kgm-jm39-fn2mhkil4p10,Enterprise Risk Management Essentials,COURSE,SELF_PACED,1800,PROFICIENT,banking risk competence,https://www.coursera.org/courses?query=risk+management
ensure compliance with regulations,http://data.europa.eu/esco/skill/in58k132-2mjn-4lhn-kn40-go3nijmm5q21,Regulatory Compliance and Governance,COURSE,SELF_PACED,1500,COMPETENT,compliance knowledge,https://www.coursera.org/professional-certificates
manage budgets,http://data.europa.eu/esco/skill/jo69l243-3nko-4mio-lo51-hp4ojknn6r32,Budgeting and Financial Planning,COURSE,SELF_PACED,1200,BASIC,intro budgeting,https://www.edx.org/courses
lead a team,http://data.europa.eu/esco/skill/kp70m354-4olp-4njp-mp62-iq5pklog7s43,Leadership and Team Management Foundations,COURSE,SELF_PACED,1500,COMPETENT,transversal leadership skill,https://www.coursera.org/courses?query=leadership
communicate effectively,http://data.europa.eu/esco/skill/lq81n465-5pmq-4okq-nq73-jr6qlmph8t54,Effective Business Communication,COURSE,SELF_PACED,900,BASIC,transversal soft skill,https://www.coursera.org/courses?query=communication
think analytically,http://data.europa.eu/esco/skill/mr92o576-6qnr-4plr-or84-ks7rmnqi9u65,Critical Thinking and Problem Solving,COURSE,SELF_PACED,1200,COMPETENT,transversal cognitive skill,https://www.coursera.org/courses?query=critical+thinking
manage environmental management system,http://data.europa.eu/esco/skill/b13e0689-636d-42d0-86c3-df9d6f85a882,ISO 14001 Environmental Management Systems,COURSE,SELF_PACED,1800,PROFICIENT,real ESCO skill present in legacy DB,https://esco.ec.europa.eu/en/classification/skill_main
apply statistical analysis methods,http://data.europa.eu/esco/skill/ns03p687-7ros-4qms-ps95-lt8snorj0v76,Applied Statistics for Decision Making,COURSE,SELF_PACED,2400,PROFICIENT,statistics knowledge concept,https://www.edx.org/certificates/professional-certificate
develop software,http://data.europa.eu/esco/skill/ot14q798-8spt-4rnt-qt06-mu9topsk1w87,Software Engineering Lifecycle,COURSE,SELF_PACED,3000,EXPERT,senior engineering tier,https://www.coursera.org/professional-certificates
use spreadsheets software,http://data.europa.eu/esco/skill/pu25r809-9tqu-4sou-ru17-nv0upqtl2x98,Spreadsheet Productivity and Formulas,COURSE,SELF_PACED,600,NOVICE,entry digital tool literacy,https://www.coursera.org/courses?query=spreadsheets
manage customer relationships,http://data.europa.eu/esco/skill/qv36s910-0urv-4tpv-sv28-ow1vqrum3y09,Customer Relationship Management Foundations,COURSE,SELF_PACED,1200,BASIC,CRM transversal skill,https://www.edx.org/courses
perform business analysis,http://data.europa.eu/esco/skill/rw47t021-1vsw-4uqw-tw39-px2wrsvn4z10,Business Analysis and Requirements,COURSE,SELF_PACED,1800,COMPETENT,business analysis competence,https://www.coursera.org/professional-certificates
apply knowledge of data protection,http://data.europa.eu/esco/skill/sx58u132-2wtx-4vrx-ux40-qy3xstwo5a21,GDPR and Data Protection Essentials,COURSE,SELF_PACED,900,BASIC,DigComp safety; GDPR awareness,https://esco.ec.europa.eu/en/classification/skill_main
